@relation 'weatherData-weka.filters.unsupervised.attribute.Remove-R1-2,6-7'

@attribute temperature numeric
@attribute pressure numeric
@attribute humidity numeric

@data
10.5,760.1,81
9.1,761.2,85
9.8,762.6,84
10.1,763.2,83
9.8,763.7,82
10.4,763.5,79
11.4,763.6,74
10.5,763.3,77
8.5,761.9,88
8.3,760.9,90
8.5,759.4,89
8.9,757.7,88
9.7,756.2,88
11.6,754,91
11.2,755.1,92
11.1,757.4,92
10.1,759.2,95
8.9,761,96
9.1,761.5,93
9.8,761.5,92
10.4,760.8,90
11.4,759.8,73
11.8,758.6,85
10.6,757.6,89
10,757,88
9.5,757.4,91
9.4,758.8,92
9.2,759.8,92
8.9,760,93
8.4,760.1,95
7.8,760.4,94
6.2,760.5,94
5.2,760.6,97
5,761,94
4.4,761.4,93
4.4,761.6,93
4.3,761.6,93
5.7,761.5,86
5.2,761.5,88
7.4,761.3,74
2.2,761.1,94
2.2,760.7,92
4.3,760.7,90
4.8,761,83
5.2,760.9,91
6.1,761,79
7.3,761,73
6.8,761.3,71
4.2,761.4,92
5.7,761.2,83
6,761.3,83
6.3,761.4,85
6.8,761,85
7.4,760.6,77
8.2,760,74
7.6,759.6,76
5.6,758.6,91
5.4,757.8,97
5.9,757.3,96
7,756.8,85
6.4,755.9,88
7.6,755.1,83
8.6,754.2,77
7.6,753,81
5.9,751.6,92
5.4,750.1,94
5.2,749.1,94
6,748.4,94
6.2,747.7,91
6.7,747.4,93
7.5,746.9,91
7.2,746.9,93
7.1,747.1,93
7.2,747.3,93
7.7,747.6,93
8,748.2,83
8.9,748.7,81
9.2,749,80
9.2,748.8,80
8.8,748.4,81
7.9,748,85
7.6,747.9,94
7.8,748.5,91
8,749.1,89
8.2,750,87
8.3,750.6,87
8.2,751,89
8.7,751.1,75
8,751.2,83
7.8,751.2,88
8.1,751.2,76
8.2,750.8,83
10,750.4,77
11.6,749.3,64
12.6,748.6,62
11.2,747.8,73
7.5,747.3,90
7,747.1,90
7.2,747.6,88
8.2,748.1,83
9.3,748.4,80
11,748.4,70
10.9,748,74
8.4,747.2,84
8.2,746.6,85
8.5,747.2,86
9,748.1,85
9.5,748.6,86
10.7,747.8,85
13.1,747,83
14.5,748.7,75
13.8,750.7,83
11.7,752.8,93
10.7,754.6,94
10.1,755.8,93
10.6,756.5,90
10,756.2,95
12,756.5,85
12,756.4,86
11.4,757.3,90
10.9,758,91
10.2,759.4,92
10.4,760.8,90
10.8,761.7,87
10.2,761.9,95
12.6,762,84
15,762.2,68
14.1,762.1,78
11.8,761.6,90
11,761.2,91
12.6,761.2,81
13.6,761.3,71
14.7,761.9,65
15.5,762.2,61
16.3,762.4,60
15.4,763.2,67
11.9,763.1,80
11.8,763.4,90
12.3,763.4,87
12.3,763.4,89
11.8,763.6,89
12.9,763.4,77
13.2,763,73
12.5,761.9,79
9.6,760.5,87
8.9,758.8,93
10.6,756.7,91
10.9,754.1,91
10.5,752.4,95
10.8,751.6,95
10.6,752.3,94
10.6,753.5,91
9.4,755.1,92
9.6,756.6,89
10.4,758,84
10.4,759.4,82
10,760.1,87
12.6,760.1,77
12.4,759.7,84
12.2,758,91
11.8,756.4,88
11.6,754.9,89
12,753.5,92
12.7,752.5,85
13.6,752.4,77
14.4,752.3,73
15.9,752.8,67
13.6,752.4,77
12.9,750.8,87
14.8,748.4,91
16.5,748,92
16.3,749.6,87
15.9,752,85
16.6,752.8,76
15.2,754.4,73
12.2,756.6,78
10.5,758.1,83
10.1,759.5,84
9.7,760.7,83
9.5,761.7,84
8.9,761.9,80
10.8,761.6,69
11.7,761.8,64
10,761.2,79
8.8,760.4,93
8.2,759.4,97
8.4,758.8,95
8.4,758.1,90
8.6,757.4,89
9.1,756.6,89
9.6,755.8,87
8.6,754.6,95
8.5,753.3,90
8.5,752.2,89
9.2,751.4,84
10.1,750.4,92
10.7,750.1,89
11.1,749.6,79
11.7,749.2,75
10.5,748.4,83
9.4,747.4,89
9.3,746.8,88
9.6,746.7,91
10.5,746.9,94
11.4,747.4,94
11.3,748.5,92
11.4,749.7,95
11,751,95
10.3,752.6,95
10.1,754.7,95
9.6,756.8,95
9.1,759.4,93
12.7,761.3,74
14.1,763,61
15,764.3,60
13.3,765.6,71
9.2,766,87
8.8,765.6,92
8.8,766,92
9.7,765.7,89
11.2,765,85
12.2,764.2,81
?,763.9,?
14.4,763.4,68
11.2,763.3,79
9.4,762.6,87
11,762.3,79
12,761.8,76
13.1,761.1,66
14.2,760.4,62
15.1,759.8,62
13.6,758.6,75
12.3,757.7,86
12.2,756.4,89
12.6,754.9,93
17.8,752.7,70
18.1,753.4,69
19.6,754.3,64
19.7,755,61
16.8,756,72
13.4,756.6,78
13.7,757.1,75
14.1,758,78
15.1,758.3,75
16.8,759.2,72
18.5,759.3,67
18.4,759.8,69
17.4,760.6,71
14.3,760.3,85
13.6,759.4,86
14.9,758.4,76
15.3,758.1,72
15.6,758.4,67
16.7,758.6,64
16.4,759.2,68
14.8,759.4,74
13.6,758.9,79
12.5,758.7,85
11.6,758.3,88
13.4,757.6,83
15,757.2,69
16.7,756.8,58
15.8,756.3,59
14.2,755.3,67
11.6,753.6,83
11.7,751.9,94
12.7,750.7,91
12.6,749.7,93
13.3,749.6,92
14.1,749.3,87
14.1,749.2,81
13.3,749,81
12.3,749.2,85
12.1,749.6,87
12.2,750.8,82
12.3,751.8,82
12.4,753,84
15.1,753.4,65
14.3,754.7,72
13,756.1,80
12,756.6,88
11.7,757.4,90
11.8,757.8,78
12.5,757.7,78
13.6,757.6,73
14.2,757,75
15,757,80
15.5,756.6,79
14,755.6,89
13.8,754.1,93
15.3,753.3,94
17.8,753.1,95
21.7,751.9,66
24.6,751.6,54
25.1,752.4,54
22,753.3,66
15.4,754.4,88
14.4,754.8,94
14.6,755.6,94
15.6,756.2,89
16.8,756.8,80
19.7,757.4,70
20,758.4,61
17.4,759.5,65
12.3,760.7,78
11.2,761.6,84
11.5,762.5,88
13.5,763,75
13.7,763.4,71
13.8,763.7,67
14.6,764,59
13.9,764,67
10.9,763.4,91
6,762.6,94
7.5,761.6,84
9.1,760.6,70
10.9,759.3,62
13.3,757.6,60
15.3,756.5,46
12.4,754.7,61
9,751.8,90
7,749.2,93
7.1,747,90
8.1,746.2,86
8.4,746.2,86
12.5,746.7,64
13.4,747.6,58
12,748.5,63
9.4,748.4,84
7.8,748.1,94
8.2,747.5,95
8.4,747,95
9,748,96
10.7,749.2,86
10.3,750.7,83
11,751.4,78
10.6,751.7,89
10,752.9,90
11.1,752.9,86
11.3,753.1,86
12.6,753.2,72
14.8,753.2,66
14.4,753.1,63
13.2,753,89
?,752.9,?
12.6,752.8,93
13.1,752.8,92
13.2,752.1,92
14.6,751.7,86
17.1,751.5,75
18.4,751.2,60
18,751.2,73
14.8,751.7,88
14.1,753.1,85
14.2,754.9,78
13.2,756.7,78
14.2,757.6,83
16.4,758.3,65
17.1,758.6,65
15,758.4,74
13.6,757.9,85
12.8,757.3,91
13,757,96
15.1,756.5,93
15.5,756.8,91
15.7,757.4,99
15.7,758.3,94
15.7,758.8,91
15.1,759.5,93
14.4,760.1,92
13.4,760.6,92
14.5,760.8,85
15.5,760.7,80
15,759.8,89
14.9,759.4,93
12.9,759.8,94
10.6,760.7,94
10.4,765.4,87
12.9,767,62
13,768,62
13.5,768.8,52
13.8,769.4,52
12.1,770.2,55
9.2,770.3,68
6.4,770,83
8.8,769.6,66
9.2,769,70
10.9,768.9,59
13.2,768.6,48
14.3,768.1,51
12.9,768.5,62
11.2,768.4,71
8.6,768.4,93
9.7,768.1,88
11.8,767.8,81
13,767.6,62
16.5,767.2,54
17.1,767.2,53
16.5,767.5,59
14.1,767.3,77
10.2,766.8,94
12.2,766.1,88
13.2,765.7,88
14.1,765.1,80
15.7,764.2,70
16.5,763.8,74
15.5,763.4,88
15.3,762.6,88
14.5,761.8,91
14.7,761,90
13.5,760.6,89
15.7,760.1,76
17,759.1,70
17.2,758.3,76
17.7,757.3,64
16.9,756.1,80
14.2,754.7,92
14.5,754.3,91
15.5,753.8,89
16.1,753.4,79
18.8,753.2,58
19.1,752.7,69
16.1,752.7,90
14.6,752.8,91
14.3,754.5,92
15.4,755.7,88
15.6,756.8,86
16.6,757.5,81
20,757.4,59
18.1,757.5,73
16.4,757.5,82
13.8,756.8,94
13,755.8,96
13.4,755.2,96
15,754.8,93
15.5,754.5,93
18.3,754,74
17.7,754.2,75
16.8,754.3,79
16.1,754.4,85
14.3,754.2,90
14.2,754.2,90
13.4,754.3,89
15.5,754.2,84
18.9,753.8,66
18.5,753.3,71
18.5,752.1,69
15.7,750.8,89
13.8,749.6,89
14.6,748.7,90
14.3,747.8,91
14.8,746.8,90
15.6,746.3,90
15.1,745.4,91
14.9,743.6,91
14.5,743.9,91
14.1,744.9,91
14.5,747.6,88
15.2,750.9,75
15.8,752.9,65
18.3,754.4,53
18.1,756.3,50
16.9,757.6,54
12.4,759.2,67
11.2,760.4,72
12,761.6,68
13.5,762.3,67
13.9,762.9,62
17.1,763.9,45
16.2,765.4,44
14.9,766.7,48
12.8,767.1,60
11.6,767,63
11.5,766.5,65
11.4,765.8,62
12.3,765,55
14.9,764,48
14.7,763,50
13,761.6,69
12.2,760,81
12.1,758,93
14.9,756.4,93
15.9,755.8,93
16.9,756.1,90
17.8,756.9,83
18.7,757.7,83
19.3,758.7,78
17.7,758.9,90
16.9,759.2,93
16.9,759.9,93
17.1,760.6,91
18.6,760.9,77
21.4,760.6,61
22.1,761.2,62
19.9,761.7,60
19.1,761.6,65
15.5,761.2,84
15.9,761.2,82
17.7,761.3,74
19.1,761.2,64
22.9,760.8,51
23.4,760.8,49
22.3,761.6,56
17.5,761.6,76
15.1,761.9,94
15.6,761.9,94
16.8,762.1,93
17.5,761.8,87
18.2,761.7,78
20.2,761.6,68
20.9,761.7,59
18.5,761.6,72
14.7,761.6,86
15,761.7,88
17,762,78
19.8,761.9,56
22.9,762.2,50
23.5,762.5,51
?,763.3,?
18.7,763.4,69
13.7,763.6,82
15.1,764,82
16.5,764.2,70
18.7,764.2,59
22.8,764.2,45
22.7,765,48
21.8,765.8,45
18,766.9,73
13.3,767.4,91
14.3,768,88
13.8,768.3,80
15.5,768.6,67
18.3,768.7,50
19.2,769.3,50
17.5,770.1,56
14,769.9,63
8.1,769.3,96
8.5,768.9,96
9.9,768.3,90
13.2,767.7,63
15.2,767.6,56
15.7,767.3,52
15.6,767.2,50
14.3,767.2,55
11.3,766.7,77
11.5,766.3,77
12,766.4,69
12.6,765.9,69
13.9,765.5,58
13.8,765.6,61
13.8,765.4,58
12.7,765.2,67
11.1,764.9,84
11.3,764.7,84
11.9,764.6,84
11.7,764.4,92
12.2,764.1,89
12.8,764.1,79
12.2,763.7,79
